run,seconds,phase,working_bytes,private_bytes,unity_bytes,motion_playables
e3fd-shots,420.191557,Ready,292188160,509472768,77990605,
e3fd-shots,425.1926,Ready,292188160,509472768,77990882,
e3fd-shots,430.194177,Ready,292188160,509472768,78001153,
e3fd-shots,435.194531,Ready,292188160,509472768,78001153,
e3fd-shots,440.195018,Ready,292192256,509472768,78001321,
e3fd-shots,445.195792,Ready,292192256,509472768,78012073,
e3fd-shots,450.207765,Ready,292192256,509472768,78012073,
e3fd-shots,455.208584,Ready,292192256,509472768,78012081,
e3fd-shots,460.208875,Ready,292192256,509472768,78022841,
e3fd-shots,465.209787,Ready,292192256,509472768,78022841,
e3fd-shots,470.210238,Ready,292192256,509472768,78023078,
e3fd-shots,475.210643,Ready,292192256,509472768,78033593,
e3fd-shots,480.211662,Ready,292192256,509472768,78033593,
e3fd-shots,485.212901,Ready,292192256,509472768,78034304,
e3fd-shots,490.214674,Ready,292192256,509472768,78095305,
e3fd-shots,495.215048,Ready,292192256,509472768,78094752,
e3fd-shots,500.216312,Ready,292077568,509472768,78094673,
e3fd-shots,505.216889,Ready,291852288,509472768,78133329,
e3fd-shots,510.217713,Ready,291852288,509472768,78133329,
e3fd-shots,515.218293,Ready,291852288,509472768,78133527,
e3fd-shots,520.218737,Ready,291852288,509472768,78144633,
e3fd-shots,525.21907,Ready,291852288,509472768,78144633,
e3fd-shots,530.219523,Ready,291852288,509472768,78144633,
e3fd-shots,535.220587,Ready,291852288,509472768,78155657,
e3fd-shots,540.221679,Ready,291852288,509472768,78155657,
e3fd-shots,545.222145,Ready,291852288,509472768,78155657,
e3fd-shots,550.222316,Ready,291852288,509472768,78166633,
e3fd-shots,555.222478,Ready,291852288,509472768,78166633,
e3fd-shots,560.223205,Ready,291852288,509472768,78166712,
e3fd-shots,565.224836,Ready,291856384,509472768,78177577,
e3fd-shots,570.225466,Ready,291856384,509472768,78177705,
e3fd-shots,575.226055,Ready,291856384,509472768,78177784,
e3fd-shots,580.226865,Ready,291856384,509472768,78188696,
e3fd-shots,585.22879,Ready,291856384,509472768,78188696,
e3fd-shots,590.229684,Ready,291856384,509472768,78188617,
e3fd-shots,595.229958,Ready,291856384,509472768,78199601,
e3fd-no-shots,0.079246,Ready,534896640,782090240,76271037,
e3fd-no-shots,5.095745,Ready,534999040,769695744,76134481,
e3fd-no-shots,10.097501,Speaking,326832128,561803264,77027108,
e3fd-no-shots,15.098796,PreparingSpeech,278511616,512139264,77072036,
e3fd-no-shots,20.100001,Speaking,284082176,516259840,77302396,
e3fd-no-shots,25.101376,Speaking,286248960,521637888,77447618,
e3fd-no-shots,30.102966,Speaking,287105024,521596928,77578192,
e3fd-no-shots,35.103397,Speaking,287956992,521596928,77709061,
e3fd-no-shots,40.104179,Speaking,283967488,517529600,77936857,
